user_id,age,occupation,city_type,commute_mode,commute_days_per_week,avg_commute_distance_km_per_day,weekly_commute_distance_km,monthly_flight_distance_km,monthly_ride_share_km,vehicle_ownership,estimated_monthly_transport_emissions_kg_co2e
U0125,30,Student,Urban,Cycling,2,0.5,1.0,125.4,4.0,None,21.21
U0126,46,Freelancer,Metro,Metro/Subway,3,13.3,39.9,476.8,3.4,Shared,129.31
U0127,33,Freelancer,Semi-Urban,Motorcycle,5,15.4,77.1,118.3,13.8,Two-wheeler,56.32
U0128,36,Remote Worker,Urban,Carpool,4,22.5,90.0,211.8,25.9,Shared,76.54
U0129,23,Remote Worker,Metro,Bus,7,2.6,18.0,174.3,0.6,Shared,35.47
U0130,22,Remote Worker,Urban,Bus,4,1.8,7.1,94.4,0.3,Shared,18.2
U0131,59,Freelancer,Semi-Urban,Motorcycle,5,14.8,74.0,7.6,0.1,Two-wheeler,34.26
U0132,37,Office Worker,Metro,Electric Train,5,5.4,26.9,132.4,4.7,Shared,25.97
U0133,18,Office Worker,Semi-Urban,Cycling,5,15.7,78.4,77.5,3.3,None,13.27
U0134,60,Shop Owner,Metro,Bus,4,4.6,18.3,41.6,8.6,Shared,15.49
U0135,44,Office Worker,Metro,Cycling,5,8.7,43.4,112.6,0.1,None,18.39
U0136,55,Business Traveler,Semi-Urban,Motorcycle,4,10.0,40.1,78.2,2.1,Two-wheeler,31.01
U0137,47,Homemaker,Urban,Cycling,4,6.8,27.1,62.3,12.5,None,18.29
U0138,43,Office Worker,Metro,Electric Train,5,4.6,23.0,107.2,9.8,Shared,32.21
U0139,41,Homemaker,Urban,Carpool,4,21.2,84.7,111.3,1.1,Shared,53.19
U0140,36,Student,Rural,Metro/Subway,4,10.4,41.5,2.6,0.2,Shared,7.84
U0141,28,Remote Worker,Semi-Urban,Walking,6,0.6,3.7,64.5,5.5,None,11.58
U0142,25,Retired,Semi-Urban,Motorcycle,5,2.7,13.4,247.2,14.0,Two-wheeler,48.95
U0143,36,Office Worker,Urban,Motorcycle,5,17.8,89.1,85.7,0.0,Two-wheeler,61.6
U0144,20,Student,Urban,Metro/Subway,3,17.2,51.5,87.3,2.5,Shared,23.85
U0145,26,Shop Owner,Urban,Car - solo,3,19.7,59.1,128.9,23.2,Car,74.62
U0146,49,Shop Owner,Urban,Bus,4,9.5,37.9,244.6,4.8,Shared,55.4
U0147,18,Remote Worker,Metro,Carpool,5,30.1,150.4,120.0,1.3,Shared,92.73
U0148,22,Student,Metro,Metro/Subway,5,17.2,86.0,46.5,0.5,Shared,22.95
U0149,41,Remote Worker,Semi-Urban,Bus,4,2.5,9.9,57.4,4.1,Shared,13.96
U0150,47,Remote Worker,Metro,Carpool,7,21.2,148.6,275.7,6.2,Shared,132.63
U0151,18,Office Worker,Urban,Carpool,2,16.7,33.3,76.0,15.6,Shared,29.1
U0152,51,Business Traveler,Semi-Urban,Carpool,4,20.9,83.8,486.7,16.0,Shared,116.87
U0153,29,Remote Worker,Rural,Carpool,4,14.8,59.3,184.2,27.6,Shared,76.67
U0154,18,Remote Worker,Urban,Bus,5,14.5,72.6,152.7,7.4,Shared,54.28
U0155,28,Student,Metro,Bus,2,11.6,23.1,12.9,4.1,Shared,11.8
U0156,26,Business Traveler,Urban,Car - solo,3,22.3,67.0,252.4,6.9,Car,98.16
U0157,23,Shop Owner,Rural,Motorcycle,6,8.8,53.1,318.4,0.2,Two-wheeler,75.6
U0158,47,Remote Worker,Metro,Bus,7,19.8,138.5,251.6,0.9,Shared,94.56
U0159,43,Student,Metro,Bus,3,10.5,31.6,371.8,0.3,Shared,72.84
U0160,47,Student,Metro,Electric Train,4,11.1,44.6,182.7,4.4,Shared,36.41
U0161,44,Freelancer,Semi-Urban,Motorcycle,2,15.1,30.1,22.4,0.0,Two-wheeler,19.15
U0162,34,Office Worker,Urban,Car - solo,4,24.2,96.8,83.7,3.1,Car,102.41
U0163,30,Freelancer,Urban,Car - solo,7,23.4,163.8,217.4,14.1,Car,174.33
U0164,40,Shop Owner,Semi-Urban,Car - solo,4,20.1,80.5,81.2,4.8,Car,88.56
U0165,30,Freelancer,Semi-Urban,Car - solo,4,18.6,74.4,21.9,6.4,Car,68.7
U0166,31,Student,Semi-Urban,Electric Train,4,9.3,37.4,50.1,6.5,Shared,14.26
U0167,18,Remote Worker,Metro,Carpool,7,8.3,58.2,295.9,2.5,Shared,72.63
U0168,42,Office Worker,Semi-Urban,Car - solo,7,20.6,144.0,202.2,18.5,Car,156.23
U0169,18,Student,Urban,Electric Train,3,12.6,37.9,241.2,1.8,Shared,44.58
U0170,28,Student,Urban,Walking,5,0.5,2.5,186.9,0.4,None,47.73
U0171,27,Freelancer,Metro,Electric Train,5,15.3,76.5,95.5,4.8,Shared,26.43
U0172,43,Business Traveler,Rural,Car - solo,3,20.2,60.5,670.0,24.0,Car,164.14
U0173,47,Homemaker,Urban,Motorcycle,3,23.0,69.0,63.2,0.9,Two-wheeler,41.25
U0174,34,Office Worker,Metro,Metro/Subway,5,22.4,111.9,24.5,13.6,Shared,26.48
U0175,30,Retired,Urban,Metro/Subway,4,2.9,11.5,78.0,3.3,Shared,22.56
U0176,33,Homemaker,Metro,Carpool,5,19.0,95.1,331.6,5.7,Shared,94.23
U0177,40,Business Traveler,Urban,Motorcycle,2,12.0,24.0,230.9,10.0,Two-wheeler,50.27
U0178,48,Student,Urban,Bus,3,0.9,2.7,314.0,2.3,Shared,52.66
U0179,44,Student,Semi-Urban,Walking,2,5.7,11.4,77.7,10.6,None,14.69
U0180,30,Shop Owner,Urban,Bus,4,16.2,64.7,15.4,12.8,Shared,31.29
U0181,33,Remote Worker,Metro,Bus,5,9.2,46.0,28.7,12.3,Shared,24.77
U0182,36,Retired,Metro,Car - solo,3,16.7,50.0,158.6,5.2,Car,83.01
U0183,31,Shop Owner,Semi-Urban,Bus,6,14.0,83.7,66.5,5.8,Shared,44.22
U0184,18,Office Worker,Metro,Bus,4,3.7,14.7,24.5,0.1,Shared,11.93
U0185,29,Remote Worker,Urban,Carpool,4,18.5,74.0,60.1,29.0,Shared,45.8
U0186,20,Student,Semi-Urban,Walking,4,5.6,22.4,193.5,13.4,None,34.1
U0187,47,Freelancer,Urban,Carpool,4,17.2,68.7,250.9,15.0,Shared,72.03
U0188,31,Shop Owner,Metro,Electric Train,5,23.0,115.1,85.6,3.8,Shared,29.64
U0189,22,Remote Worker,Metro,Bus,3,8.7,26.0,1.8,4.0,Shared,11.1
U0190,42,Freelancer,Metro,Bus,4,0.5,2.0,117.4,4.1,Shared,20.69
U0191,51,Freelancer,Rural,Carpool,4,15.6,62.4,46.8,8.2,Shared,34.88
U0192,24,Homemaker,Semi-Urban,Bus,6,10.9,65.2,49.3,0.2,Shared,33.21
U0193,47,Office Worker,Metro,Metro/Subway,4,8.7,34.6,47.0,5.0,Shared,14.76
U0194,38,Remote Worker,Metro,Bus,5,12.3,61.4,192.6,3.0,Shared,55.64
U0195,60,Freelancer,Metro,Metro/Subway,4,11.0,43.8,26.3,6.4,Shared,15.71
U0196,28,Shop Owner,Urban,Car - solo,6,16.4,98.4,360.4,25.9,Car,178.71
U0197,50,Homemaker,Urban,Car - solo,2,27.5,55.0,217.7,7.0,Car,82.58
U0198,27,Freelancer,Metro,Metro/Subway,5,10.3,51.5,87.0,1.8,Shared,31.67
U0199,51,Remote Worker,Urban,Walking,4,1.2,4.6,102.4,0.0,None,16.7
U0200,28,Student,Metro,Metro/Subway,5,9.4,47.2,131.7,3.9,Shared,42.72
U0201,18,Office Worker,Rural,Motorcycle,3,10.8,32.5,120.8,3.1,Two-wheeler,45.89
U0202,22,Freelancer,Urban,Bus,4,2.4,9.7,34.2,3.3,Shared,9.95
U0203,28,Student,Urban,Metro/Subway,6,16.6,99.6,512.0,0.6,Shared,101.26
U0204,33,Freelancer,Urban,Carpool,5,15.8,79.1,138.5,4.8,Shared,68.81
U0205,46,Homemaker,Metro,Bus,4,11.5,46.1,270.1,1.0,Shared,86.83
U0206,60,Office Worker,Urban,Metro/Subway,4,9.7,38.7,139.3,7.5,Shared,43.82
U0207,28,Office Worker,Metro,Carpool,6,17.2,103.1,261.2,14.8,Shared,111.87
U0208,43,Student,Urban,Bus,5,7.5,37.7,40.9,9.0,Shared,22.92
U0209,36,Retired,Metro,Metro/Subway,5,14.4,71.8,173.0,0.3,Shared,56.91
U0210,34,Remote Worker,Semi-Urban,Walking,6,0.5,3.0,101.3,9.2,None,18.28
U0211,36,Retired,Urban,Carpool,3,22.0,65.9,247.8,1.1,Shared,67.71
U0212,40,Office Worker,Metro,Walking,4,9.0,35.9,83.8,2.4,None,14.12
U0213,56,Retired,Urban,Bus,2,10.0,20.1,261.3,3.6,Shared,51.03
U0214,51,Shop Owner,Metro,Carpool,5,24.4,121.8,817.3,22.4,Shared,187.62
U0215,34,Freelancer,Metro,Metro/Subway,3,5.1,15.2,286.2,0.9,Shared,49.53
U0216,51,Business Traveler,Metro,Car - solo,3,16.4,49.1,190.5,27.7,Car,77.19
U0217,51,Business Traveler,Rural,Carpool,4,17.6,70.4,886.6,15.0,Shared,257.94
U0218,41,Student,Metro,Electric Train,5,3.7,18.3,272.7,8.1,Shared,48.39
U0219,18,Office Worker,Rural,Motorcycle,5,14.7,73.5,18.6,0.1,Two-wheeler,35.81
U0220,48,Business Traveler,Semi-Urban,Carpool,3,16.4,49.1,397.0,14.0,Shared,87.6
U0221,21,Student,Semi-Urban,Metro/Subway,5,19.3,96.4,40.0,14.3,Shared,26.4
U0222,18,Student,Metro,Bus,4,8.6,34.5,27.8,1.8,Shared,18.17
U0223,31,Student,Urban,Bus,4,16.3,65.3,42.3,2.8,Shared,32.6
U0224,28,Student,Semi-Urban,Cycling,4,4.6,18.4,390.8,1.1,None,99.85
U0225,43,Business Traveler,Metro,Motorcycle,5,4.4,21.8,169.4,0.1,Two-wheeler,37.34
U0226,23,Freelancer,Semi-Urban,Cycling,4,4.1,16.5,132.0,0.1,None,21.53
U0227,45,Office Worker,Metro,Bus,5,12.0,59.8,67.9,1.7,Shared,34.42
U0228,28,Office Worker,Rural,Cycling,2,2.1,4.2,121.9,0.0,None,19.87
U0229,18,Student,Rural,Metro/Subway,4,6.8,27.3,131.2,9.1,Shared,27.97
U0230,28,Freelancer,Metro,Metro/Subway,3,7.4,22.3,184.6,0.5,Shared,51.12
U0231,24,Shop Owner,Rural,Motorcycle,5,13.7,68.5,122.6,8.5,Two-wheeler,63.43
U0232,41,Retired,Urban,Motorcycle,2,22.3,44.6,16.1,0.4,Two-wheeler,24.09
U0233,18,Freelancer,Metro,Electric Train,5,12.8,64.1,205.9,2.4,Shared,42.35
U0234,18,Office Worker,Urban,Motorcycle,3,6.8,20.4,262.0,0.8,Two-wheeler,51.97
U0235,31,Remote Worker,Metro,Cycling,3,5.3,15.9,84.2,23.2,None,18.19
U0236,22,Remote Worker,Urban,Cycling,6,2.9,17.2,244.7,2.4,None,40.34
U0237,40,Remote Worker,Metro,Walking,4,4.1,16.3,205.1,9.3,None,35.22
U0238,31,Shop Owner,Semi-Urban,Bus,5,0.5,2.5,144.0,0.0,Shared,37.68
U0239,23,Student,Urban,Electric Train,4,5.6,22.4,26.5,6.4,Shared,8.46
U0240,28,Remote Worker,Semi-Urban,Cycling,6,11.2,67.0,28.4,0.5,None,7.33
U0241,35,Business Traveler,Rural,Bus,6,6.4,38.5,366.9,5.9,Shared,109.52
U0242,18,Remote Worker,Rural,Carpool,5,15.7,78.5,134.5,10.7,Shared,56.26
U0243,53,Homemaker,Semi-Urban,Carpool,6,19.4,116.3,170.1,29.7,Shared,81.26
U0244,27,Business Traveler,Metro,Motorcycle,3,20.6,61.9,498.2,3.3,Two-wheeler,109.45
U0245,38,Office Worker,Metro,Electric Train,6,9.6,57.8,163.5,5.8,Shared,35.28
U0246,62,Retired,Metro,Carpool,4,21.0,83.8,55.6,7.6,Shared,44.99
U0247,29,Homemaker,Metro,Carpool,3,24.4,73.1,189.3,14.7,Shared,63.74
U0248,42,Business Traveler,Rural,Car - solo,4,11.8,47.3,121.4,6.1,Car,71.44
U0249,23,Freelancer,Metro,Electric Train,6,3.3,19.8,312.2,1.6,Shared,53.75
U0250,38,Shop Owner,Urban,Motorcycle,3,16.2,48.7,55.5,2.0,Two-wheeler,31.14
U0251,47,Freelancer,Metro,Car - solo,4,6.9,27.7,30.9,4.6,Car,28.94
U0252,41,Freelancer,Metro,Cycling,3,0.5,1.5,125.0,0.2,None,20.41
U0253,39,Remote Worker,Metro,Carpool,3,8.6,25.7,245.5,13.7,Shared,75.79
U0254,48,Homemaker,Metro,Metro/Subway,5,20.0,99.9,207.8,3.6,Shared,52.3
U0255,37,Retired,Urban,Motorcycle,4,17.9,71.4,85.7,7.0,Two-wheeler,47.17
U0256,50,Office Worker,Urban,Motorcycle,6,22.8,137.1,28.8,0.5,Two-wheeler,68.57
U0257,23,Student,Metro,Cycling,2,3.6,7.2,42.8,3.9,None,7.73
U0258,47,Retired,Semi-Urban,Walking,4,0.5,2.0,128.9,6.8,None,22.31
U0259,32,Student,Urban,Metro/Subway,4,5.3,21.1,13.4,5.0,Shared,6.9
U0260,24,Remote Worker,Metro,Bus,7,13.2,92.6,126.0,9.9,Shared,58.13
U0261,23,Student,Urban,Metro/Subway,4,7.0,28.2,363.0,0.8,Shared,64.33
U0262,39,Student,Metro,Bus,4,5.8,23.3,145.4,1.1,Shared,32.91
U0263,42,Remote Worker,Urban,Carpool,4,21.3,85.2,78.0,5.9,Shared,48.9
U0264,42,Freelancer,Rural,Motorcycle,2,20.2,40.4,72.8,10.6,Two-wheeler,38.61
U0265,36,Freelancer,Urban,Bus,3,3.8,11.3,211.2,6.2,Shared,39.97
U0266,27,Student,Metro,Metro/Subway,4,8.7,34.8,73.2,4.0,Shared,18.87
U0267,42,Office Worker,Metro,Electric Train,7,18.1,126.4,34.0,1.8,Shared,22.31
U0268,36,Remote Worker,Metro,Bus,4,5.3,21.1,160.3,1.7,Shared,34.57
U0269,22,Freelancer,Urban,Bus,7,3.3,23.3,368.3,0.0,Shared,69.01
U0270,52,Business Traveler,Semi-Urban,Motorcycle,2,16.9,33.8,275.4,11.6,Two-wheeler,62.18
U0271,46,Student,Urban,Bus,3,10.3,31.0,230.5,0.1,Shared,49.55
U0272,18,Office Worker,Semi-Urban,Carpool,3,13.9,41.6,17.4,6.9,Shared,21.28
U0273,25,Shop Owner,Semi-Urban,Motorcycle,4,30.7,122.6,137.0,7.6,Two-wheeler,91.08
U0274,58,Shop Owner,Semi-Urban,Motorcycle,5,12.8,64.2,352.7,0.5,Two-wheeler,118.67
U0275,49,Homemaker,Semi-Urban,Motorcycle,5,19.9,99.3,482.3,2.3,Two-wheeler,123.36
U0276,43,Office Worker,Urban,Car - solo,4,9.6,38.3,105.8,1.2,Car,59.01
U0277,40,Office Worker,Semi-Urban,Motorcycle,4,23.1,92.5,23.5,4.4,Two-wheeler,45.94
U0278,40,Office Worker,Semi-Urban,Car - solo,3,21.7,65.1,269.8,21.5,Car,102.23
U0279,36,Student,Semi-Urban,Metro/Subway,3,9.6,28.8,71.1,0.0,Shared,16.71
U0280,47,Homemaker,Rural,Motorcycle,5,19.9,99.5,165.7,0.2,Two-wheeler,71.41
U0281,25,Shop Owner,Semi-Urban,Bus,4,7.0,27.9,307.3,1.2,Shared,61.07
U0282,24,Student,Semi-Urban,Metro/Subway,4,16.5,66.2,529.7,3.6,Shared,147.51
U0283,53,Shop Owner,Urban,Motorcycle,3,14.7,44.0,204.1,1.3,Two-wheeler,53.16
U0284,43,Retired,Rural,Bus,4,15.3,61.2,50.9,5.1,Shared,32.88
