Entity,Code,Year,Above $10 a day,$8.30-$10 a day,$4.20-$8.30 a day,$3-$4.20 a day,Below $3 a day
Colombia,COL,2016,23954869,3824533,11529692,3359035,4769383
Colombia,COL,2017,24516151,3901205,11721989,3405834,4585901
Colombia,COL,2018,24960503,3922827,11826365,3496346,4818423
Colombia,COL,2019,25177980,3883908,11611193,3600618,5634285
Colombia,COL,2020,21981271,4060447,12531014,4075488,7981776
Colombia,COL,2021,24459997,4224612,13105349,3650615,5747599
Colombia,COL,2022,26656215,4306771,12580068,3400748,4794142
Colombia,COL,2023,27661084,4223857,12481364,3438650,4516197
Colombia,COL,2024,29060875,4253564,11821587,3254608,4495730
Colombia (urban),,1980,4760988,1103135,4329907,1894999,4809487
Colombia (urban),,1988,7057074,1611602,5824849,2280950,4562753
Colombia (urban),,1989,6971596,1647717,6154428,2490764,4667031
Colombia (urban),,1991,7997447,1822979,6427548,2437278,4469576
Comoros,COM,2004,116537,38760,189083,95338,140986
Comoros,COM,2014,116990,48658,206164,116585,223106
Comoros,COM,2020,148978,67149,378344,136034,71658
Comoros,COM,2024,184683,91042,434888,112104,43911
Congo,COG,2005,276770,132149,737285,537395,2012794
Congo,COG,2011,580765,243626,1290978,739802,1842139
Costa Rica,CRI,1981,458310,156291,701223,317373,823440
Costa Rica,CRI,1986,556738,295413,1102321,320035,542709
Costa Rica,CRI,1989,1174093,289326,867711,274430,438267
Costa Rica,CRI,1990,1249879,273585,909748,255106,433388
Costa Rica,CRI,1991,1138418,276216,956247,282407,548888
Costa Rica,CRI,1992,1237965,305449,997455,290121,453268
Costa Rica,CRI,1993,1499732,322370,925506,222513,397313
Costa Rica,CRI,1994,1715370,294616,894587,222482,324067
Costa Rica,CRI,1995,1701590,350982,899893,208045,374666
Costa Rica,CRI,1996,1624581,332813,989656,246759,425204
Costa Rica,CRI,1997,1779897,339967,984590,261534,335723
Costa Rica,CRI,1998,2020326,352827,926399,200519,282767
Costa Rica,CRI,1999,1943818,322401,998725,238480,358677
Costa Rica,CRI,2000,1981393,327031,1007871,236461,384983
Costa Rica,CRI,2001,2377792,344321,786522,195497,304815
Costa Rica,CRI,2002,2458554,319377,834129,196034,267611
Costa Rica,CRI,2003,2566220,314420,787330,186346,284468
Costa Rica,CRI,2004,2505451,342601,908602,166550,276874
Costa Rica,CRI,2005,2662702,339288,867158,177221,214871
Costa Rica,CRI,2006,2684475,366743,876358,170771,222993
Costa Rica,CRI,2007,2972938,343432,774703,151592,137583
Costa Rica,CRI,2008,3011443,393653,749148,136005,149807
Costa Rica,CRI,2009,3137611,336529,727888,135373,162390
Costa Rica,CRI,2010,3339859,357682,652154,105627,100640
Costa Rica,CRI,2011,3362590,335663,672511,113504,125565
Costa Rica,CRI,2012,3493600,310100,639226,101481,119527
Costa Rica,CRI,2013,3555421,293157,643929,99035,124605
Costa Rica,CRI,2014,3571475,321556,649887,110403,113798
Costa Rica,CRI,2015,3653043,322131,614851,110446,117567
Costa Rica,CRI,2016,3717102,324290,609722,98935,116949
Costa Rica,CRI,2017,3826061,313137,598630,89423,85926
Costa Rica,CRI,2018,3858328,279296,606658,98479,115057
Costa Rica,CRI,2019,3823081,340052,646143,103793,86484
Costa Rica,CRI,2020,3476904,384637,849839,154201,168739
Costa Rica,CRI,2021,3811376,345483,693429,100423,109277
Costa Rica,CRI,2022,3864797,346940,667567,121216,81245
Costa Rica,CRI,2023,4007289,314711,611385,93538,78602
Costa Rica,CRI,2024,4200459,284800,509556,69242,65853
Costa Rica,CRI,2025,4390489,262827,409890,50857,38887
Cote d'Ivoire,CIV,1985,3091853,958671,3454089,1195347,1372558
Cote d'Ivoire,CIV,1986,2532452,956763,4311743,1608868,1063936
Cote d'Ivoire,CIV,1987,2175598,738470,4309453,1952932,1747053
Cote d'Ivoire,CIV,1988,1425021,804705,4183361,2433741,2575073
Cote d'Ivoire,CIV,1992,1149865,656626,3988846,2523896,5186392
Cote d'Ivoire,CIV,1995,1313984,437992,4568039,2619881,5915669
Cote d'Ivoire,CIV,1998,1259660,558585,3894750,3802089,7148864
Cote d'Ivoire,CIV,2008,1647150,885492,5185832,3688218,10107748
Cote d'Ivoire,CIV,2015,1734253,834149,6355676,4558174,11764090
Cote d'Ivoire,CIV,2018,3961155,1892937,10480980,5462765,6030755
Cote d'Ivoire,CIV,2021,3929341,1847636,11851553,6286887,6290769
Croatia,HRV,1988,4617021,113887,24299,0,0
Croatia,HRV,2009,3882225,149616,200664,29307,43369
Croatia,HRV,2010,3785604,170167,240909,36961,61786
Croatia,HRV,2011,3715008,190671,287111,45334,42498
Croatia,HRV,2012,3618578,204766,337913,53442,45669
Croatia,HRV,2013,3636087,199791,310577,36381,51086
Croatia,HRV,2014,3672853,195502,256570,27844,48829
Croatia,HRV,2015,3675195,163489,258566,25566,28909
Croatia,HRV,2016,3728108,132533,190400,20623,35203
Croatia,HRV,2017,3702141,114613,176570,23166,24917
Croatia,HRV,2018,3759167,89877,108263,11367,20101
Croatia,HRV,2019,3755122,73104,96742,10041,14381
Croatia,HRV,2020,3733639,76176,73266,13749,17376
Croatia,HRV,2021,3751777,48102,63619,2263,13220
Croatia,HRV,2022,3722445,41339,70075,6447,15335
Croatia,HRV,2023,3756725,24455,56379,11985,10142
Cyprus,CYP,2004,1013518,1410,1430,560,957
Cyprus,CYP,2005,1033413,1235,942,0,561
Cyprus,CYP,2006,1053957,0,131,138,192
Cyprus,CYP,2007,1071403,292,749,0,270
Cyprus,CYP,2008,1090570,134,230,0,92
Cyprus,CYP,2009,1105455,1705,899,70,1242
Cyprus,CYP,2010,1122920,2183,1610,440,663
Cyprus,CYP,2011,1142068,663,3394,0,368
Cyprus,CYP,2012,1162081,1722,1352,193,49
Cyprus,CYP,2013,1178270,1950,1437,1089,1149
Cyprus,CYP,2014,1189972,7213,2709,729,1178
Cyprus,CYP,2015,1213254,3492,1651,553,552
Cyprus,CYP,2016,1232977,2461,497,234,943
Cyprus,CYP,2017,1251794,484,1354,0,643
Cyprus,CYP,2018,1265689,1761,2258,36,993
Cyprus,CYP,2019,1278762,1442,3603,616,2248
Cyprus,CYP,2020,1299292,398,1729,540,288
Cyprus,CYP,2021,1314995,1109,454,101,650
Cyprus,CYP,2022,1329975,910,418,0,67
Cyprus,CYP,2023,1341852,2232,651,64,177
Czechia,CZE,1992,10050826,165106,92872,10319,0
Czechia,CZE,1993,10181518,148337,0,0,0
Czechia,CZE,1996,9933577,175359,185675,10315,10315
Czechia,CZE,2002,9952190,122363,122363,0,0
Czechia,CZE,2004,9887412,113619,193160,1069,1841
Czechia,CZE,2005,9984952,116365,103998,2436,3465
Czechia,CZE,2006,10002499,135288,93364,0,7754
Czechia,CZE,2007,10120554,93061,64489,7543,13181
Czechia,CZE,2008,10208951,79493,83403,4016,8740
Czechia,CZE,2009,10254188,88357,95118,1441,4832
Czechia,CZE,2010,10282994,72831,105805,8991,3789
Czechia,CZE,2011,10278738,119451,86428,3945,7526
Czechia,CZE,2012,10327469,70388,84087,19941,8900
Czechia,CZE,2013,10365127,60118,83093,1130,4804
Czechia,CZE,2014,10323587,86981,107995,5697,1087
Czechia,CZE,2015,10385462,81896,76363,1414,924
Czechia,CZE,2016,10427143,50314,80442,8433,0
Czechia,CZE,2017,10512485,26844,42527,12582,0
Czechia,CZE,2018,10570565,18206,35969,4246,942
Czechia,CZE,2019,10596625,46132,29113,0,0
Czechia,CZE,2020,10625854,20725,49471,937,871
Czechia,CZE,2021,10443739,31443,21935,2367,6288
Czechia,CZE,2022,10568523,42757,49137,11701,0
Czechia,CZE,2023,10728999,43987,85889,5167,0
Democratic Republic of Congo,COD,2004,95346,61890,1134513,1701840,55586555
Democratic Republic of Congo,COD,2012,921149,674313,6890652,7183976,58598438
Democratic Republic of Congo,COD,2020,1275609,673512,5237821,6906625,81896433
Denmark,DNK,1987,5050119,5127,35889,5127,30762
Denmark,DNK,1992,5098971,10343,25856,5172,31028
Denmark,DNK,1995,5217673,5233,5234,0,5233
Denmark,DNK,2000,5328937,0,5339,0,5340
Denmark,DNK,2003,5358244,6988,5458,0,19884
Denmark,DNK,2004,5377266,5332,4027,875,17023
Denmark,DNK,2005,5388713,5271,10374,0,15074
Denmark,DNK,2006,5415138,3369,6994,1168,10603
Denmark,DNK,2007,5416199,13458,12895,14235,4651
Denmark,DNK,2008,5449169,2046,20351,5754,16301
Denmark,DNK,2009,5450473,9946,27487,3936,31253
Denmark,DNK,2010,5526678,2669,10653,4505,3178
Denmark,DNK,2011,5525770,9694,35108,0,0
Denmark,DNK,2012,5517954,24444,49174,0,0
Denmark,DNK,2013,5561781,9844,25849,0,17458
Denmark,DNK,2014,5579407,11790,38546,0,13732
Denmark,DNK,2015,5654010,1054,13888,4561,9970
Denmark,DNK,2016,5695328,1783,13722,1231,15946
Denmark,DNK,2017,5749399,1038,4681,1644,8218
Denmark,DNK,2018,5770654,7985,1873,0,13124
Denmark,DNK,2019,5785547,2156,7188,3878,15653
Denmark,DNK,2020,5796407,6207,14851,4318,9621
Denmark,DNK,2021,5837778,2376,7578,0,9001
Denmark,DNK,2022,5852494,3083,32005,1023,14432
Denmark,DNK,2023,5909064,394,16131,0,21363
Djibouti,DJI,2002,83106,41681,260381,153198,257208
Djibouti,DJI,2012,162173,55388,341621,152584,254981
Djibouti,DJI,2013,132553,47937,333391,163194,307749
Djibouti,DJI,2017,142815,59768,391019,193722,267517
Dominican Republic,DOM,1986,3654709,530296,1400522,412869,572812
Dominican Republic,DOM,1989,1980039,539527,2133109,881869,1467751
Dominican Republic,DOM,1992,2964840,684795,2303727,751003,743109
Dominican Republic,DOM,1996,3971639,777551,2072933,571451,639320
Dominican Republic,DOM,1997,4371009,671466,1957651,508302,665650
Dominican Republic,DOM,2000,4524797,642829,2191895,515372,709297
Dominican Republic,DOM,2001,4563995,740852,2220468,620826,574142
Dominican Republic,DOM,2002,4567235,830014,2071338,586586,797062
Dominican Republic,DOM,2003,3881381,810284,2578196,752065,958694
Dominican Republic,DOM,2004,3280719,760684,2792073,938927,1332489
Dominican Republic,DOM,2005,4080842,841782,2585971,807337,909102
Dominican Republic,DOM,2006,4523198,754767,2578476,726516,758226
Dominican Republic,DOM,2007,4490888,899831,2609212,715694,740033
Dominican Republic,DOM,2008,4393133,945512,2713403,837286,683796
Dominican Republic,DOM,2009,4767708,903656,2648093,762431,613377
Dominican Republic,DOM,2010,4922240,772078,2739066,842072,544719
Dominican Republic,DOM,2011,5070160,878408,2831662,634570,530821
Dominican Republic,DOM,2012,5064301,1022624,2769149,667463,546874
Dominican Republic,DOM,2013,5270609,919969,2820594,731512,451149
Dominican Republic,DOM,2014,5912489,949620,2550786,476735,425898
Dominican Republic,DOM,2015,6420262,941558,2292607,439438,340964
Dominican Republic,DOM,2016,6755683,906880,2180574,395618,312675
Dominican Republic,DOM,2017,7114579,1011135,2093456,285510,162163
Dominican Republic,DOM,2018,7500312,1024975,1932050,205981,118735
Dominican Republic,DOM,2019,7851388,995191,1727313,210232,109919
Dominican Republic,DOM,2020,7496814,1124121,1912311,331655,143399
Dominican Republic,DOM,2021,7565012,1129558,2022657,264819,141430
Dominican Republic,DOM,2022,7919736,1038793,1916971,247926,107308
Dominican Republic,DOM,2023,8519131,899591,1572571,195770,144202
Dominican Republic,DOM,2024,9132766,699203,1363138,143849,88601
East Asia and Pacific (WB),WB_EAP,1990,239441940,22777259,155583603,181546762,1218386372
East Asia and Pacific (WB),WB_EAP,1991,246353762,23704302,165997383,190947653,1217186852
East Asia and Pacific (WB),WB_EAP,1992,253607994,24791740,184062426,202474417,1204137983
East Asia and Pacific (WB),WB_EAP,1993,260383524,27183152,204606633,211301396,1189783919
East Asia and Pacific (WB),WB_EAP,1994,270675250,30986860,239710905,241373413,1134642756
East Asia and Pacific (WB),WB_EAP,1995,279336749,33641070,275677042,270636413,1081894006
East Asia and Pacific (WB),WB_EAP,1996,294376991,38351345,315626208,294104820,1022370716
East Asia and Pacific (WB),WB_EAP,1997,303927740,41291124,331736273,291640676,1019471771
East Asia and Pacific (WB),WB_EAP,1998,306554238,43496297,338732903,283444201,1038215881
East Asia and Pacific (WB),WB_EAP,1999,315080090,47569370,368480284,302093106,997689662
East Asia and Pacific (WB),WB_EAP,2000,332053244,54297533,401899551,306762627,955136677
East Asia and Pacific (WB),WB_EAP,2001,351635920,63084929,432689189,309768426,911503648
East Asia and Pacific (WB),WB_EAP,2002,379728474,74443820,473893235,322928929,835149926
East Asia and Pacific (WB),WB_EAP,2003,407123169,85865206,515372468,332245840,762155301
East Asia and Pacific (WB),WB_EAP,2004,437479628,96779198,543389454,344001894,697097730
East Asia and Pacific (WB),WB_EAP,2005,474383510,108198699,581687525,353701403,616601919
East Asia and Pacific (WB),WB_EAP,2006,510148995,117537866,587453394,339261858,596286911
East Asia and Pacific (WB),WB_EAP,2007,558831086,129872455,605122002,331314137,541906976
East Asia and Pacific (WB),WB_EAP,2008,594886596,136802538,615659705,325508209,510615336
East Asia and Pacific (WB),WB_EAP,2009,648022097,144443692,621228664,315841847,469612500
East Asia and Pacific (WB),WB_EAP,2010,719924875,153849456,624675798,298674249,417489382
East Asia and Pacific (WB),WB_EAP,2011,782548754,165744539,649981499,291970335,340581369
East Asia and Pacific (WB),WB_EAP,2012,857355876,170525412,650073934,273231546,297894576
East Asia and Pacific (WB),WB_EAP,2013,947539576,186181347,678816527,250771950,203762600
East Asia and Pacific (WB),WB_EAP,2014,1025450011,193596356,658996541,229044333,177298295
East Asia and Pacific (WB),WB_EAP,2015,1098525244,199340076,653890822,209709821,139378325
East Asia and Pacific (WB),WB_EAP,2016,1167784762,205279556,641306601,186489128,116215921
East Asia and Pacific (WB),WB_EAP,2017,1225968740,205018581,629233994,176699362,96554907
East Asia and Pacific (WB),WB_EAP,2018,1297661760,208590952,607862968,156307170,77153470
East Asia and Pacific (WB),WB_EAP,2019,1357830141,210584015,599996831,130392904,60958285
East Asia and Pacific (WB),WB_EAP,2020,1341149122,219190422,632253730,112302054,64525472
East Asia and Pacific (WB),WB_EAP,2021,1475598584,206159965,538785629,92321757,62251889
East Asia and Pacific (WB),WB_EAP,2022,1471233075,203421872,551973125,95606801,57382151
East Asia and Pacific (WB),WB_EAP,2023,1530279229,195008769,520616230,86428784,52108588
East Asia and Pacific (WB),WB_EAP,2024,1564883312,192111045,500941161,83222505,47161465
East Asia and Pacific (WB),WB_EAP,2025,1600196264,189463835,480116987,77374240,42482722
East Asia and Pacific (WB),WB_EAP,2026,1632053781,185980042,460301625,73504048,39145720
East Timor,TLS,2001,24190,15798,168556,151231,452474
East Timor,TLS,2007,8333,7129,166696,218532,604199
East Timor,TLS,2014,27146,20643,292604,325116,523595
Eastern and Southern Africa (WB),,1990,25339859,8103912,49735750,36541149,192028002
Eastern and Southern Africa (WB),,1991,25511112,8175631,49413325,35981594,201361314
Eastern and Southern Africa (WB),,1992,25024539,8205915,48867654,36376266,210608346
Eastern and Southern Africa (WB),,1993,23071234,7800509,50066306,37966151,219419800
Eastern and Southern Africa (WB),,1994,23272504,8076981,51964074,39121649,225006616
Eastern and Southern Africa (WB),,1995,24661923,8581559,54024921,40018209,229293772
Eastern and Southern Africa (WB),,1996,26048423,9180821,56261959,41905987,232741338
Eastern and Southern Africa (WB),,1997,27246798,9623491,57319918,42996174,238459859
Eastern and Southern Africa (WB),,1998,27300750,9717575,57710919,44198791,246577725
Eastern and Southern Africa (WB),,1999,27188756,9858052,59143753,47153199,252407184
Eastern and Southern Africa (WB),,2000,27755683,10170732,62083118,49950261,256196878
Eastern and Southern Africa (WB),,2001,29232894,10672151,65271541,52642079,258989207
Eastern and Southern Africa (WB),,2002,29763515,10850845,64449158,53287211,269469623
Eastern and Southern Africa (WB),,2003,30445334,10677137,67388947,57787753,272874109
Eastern and Southern Africa (WB),,2004,32932078,11268944,77248350,65155453,264323207
Eastern and Southern Africa (WB),,2005,35205295,11880108,85288913,68137744,262564580
Eastern and Southern Africa (WB),,2006,37510919,12807468,89604167,71256527,264427127
Eastern and Southern Africa (WB),,2007,40238123,13965302,94663425,74668103,265045751
Eastern and Southern Africa (WB),,2008,42575512,14890694,98882964,77567810,268153772
Eastern and Southern Africa (WB),,2009,43395310,15273438,102483728,79998513,274852467
Eastern and Southern Africa (WB),,2010,47091644,16596097,109711227,83641645,273267771
Eastern and Southern Africa (WB),,2011,49452494,17659972,115422833,86153894,276048791
Eastern and Southern Africa (WB),,2012,50574822,18464958,121855114,90808218,277906872
Eastern and Southern Africa (WB),,2013,52344348,19383879,128084644,93788116,281601701
Eastern and Southern Africa (WB),,2014,54228497,20341125,133310412,95537372,287551554
Eastern and Southern Africa (WB),,2015,55097943,20835238,137866629,96707589,296615865
Eastern and Southern Africa (WB),,2016,56081197,21125103,141050552,97272335,307840221
Eastern and Southern Africa (WB),,2017,57014854,21329167,143239810,99594485,318880436
Eastern and Southern Africa (WB),,2018,56319273,21210901,146066739,103391967,330812208
Eastern and Southern Africa (WB),,2019,55905282,21227109,147871280,107839886,343106651
Eastern and Southern Africa (WB),,2020,52763398,20518326,146061567,111340208,363762581
Eastern and Southern Africa (WB),,2021,53772834,20619399,148705961,116139585,373853165
Eastern and Southern Africa (WB),,2022,56523171,21398815,155328342,119225894,379345154
Eastern and Southern Africa (WB),,2023,56803285,21410403,159247776,124135905,388894023
Eastern and Southern Africa (WB),,2024,58418055,22219125,164431823,127530843,396681050
Eastern and Southern Africa (WB),,2025,61131229,23649758,172993408,131512939,399557466
Eastern and Southern Africa (WB),,2026,64372382,24816071,182265233,135569746,401956152
Ecuador,ECU,1994,3064295,813067,3601589,1445359,2447887
Ecuador,ECU,1999,3130583,782624,3622897,1575878,3358813
Ecuador,ECU,2000,2292307,671999,3563879,1839994,4321027
Ecuador,ECU,2003,4510578,1010729,3860732,1468840,2521427
Ecuador,ECU,2004,4493890,983704,3922407,1563348,2645352
Ecuador,ECU,2005,5625763,1039263,3759088,1292703,2129346
Ecuador,ECU,2006,6249703,1237521,3865740,1203463,1529704
Ecuador,ECU,2007,6503933,1246776,3896940,1113584,1567540
Ecuador,ECU,2008,6941668,1309124,3742295,1155764,1426351
Ecuador,ECU,2009,6888111,1356742,4078926,1118542,1383633
Ecuador,ECU,2010,7703859,1380487,3822867,997348,1172134
Ecuador,ECU,2011,8561762,1269433,3671814,835584,987634
Ecuador,ECU,2012,9256141,1243672,3366118,767342,938921
Ecuador,ECU,2013,9335695,1326500,3612310,822845,709778
Ecuador,ECU,2014,9987429,1445955,3289624,675533,636583
Ecuador,ECU,2015,10004146,1411360,3354754,719937,776028
Ecuador,ECU,2016,10206591,1466221,3337424,674587,820316
Ecuador,ECU,2017,10652600,1362357,3337751,689588,717223
Ecuador,ECU,2018,10677773,1438263,3358908,774496,800108
Ecuador,ECU,2019,10642530,1385665,3663130,842745,805950
Ecuador,ECU,2020,9620634,1601592,3962815,880374,1480649
Ecuador,ECU,2021,10423159,1339045,4015037,972299,932914
Ecuador,ECU,2022,10909932,1404632,3866023,851051,792258
Ecuador,ECU,2023,10776459,1662956,3750639,948429,841601
Ecuador,ECU,2024,10764086,1455969,3716969,872159,1326295
Ecuador,ECU,2025,11339197,1437050,3982133,906284,625232
Ecuador (urban),,1987,1599396,431142,1504104,528195,1116050
Ecuador (urban),,1995,1824226,514533,2254874,933934,1220253
Ecuador (urban),,1998,2048508,517330,2174325,1041320,1549541
Egypt,EGY,1990,9889725,5554158,29447123,10092231,4229571
Egypt,EGY,1995,9381801,5886878,36126829,12567969,2720715
Egypt,EGY,1999,17045711,9122936,37223026,9301031,0
Egypt,EGY,2004,14200705,7990501,43445237,11327042,3309499
Egypt,EGY,2008,15331322,8950765,48095075,10663539,3216931
Egypt,EGY,2010,21384480,11540875,48175274,7633679,1391284
Egypt,EGY,2012,23779107,13334258,50612569,5324912,1174706
Egypt,EGY,2015,28112210,14923422,49519854,5838011,1203847
Egypt,EGY,2017,22570409,12391495,55861415,11088202,3274063
Egypt,EGY,2019,26934355,14046291,56255361,8924700,2150093
Egypt,EGY,2021,30181882,16446076,57650053,6416274,1541883
El Salvador,SLV,1989,1491610,440186,1535485,519724,1311974
El Salvador,SLV,1991,1288666,334369,1594452,687646,1589944
El Salvador,SLV,1995,1615360,506243,1813112,714506,1112910
El Salvador,SLV,1996,1659907,411642,1799989,700424,1233324
El Salvador,SLV,1998,1768414,413642,1572773,576462,1549490
El Salvador,SLV,1999,1919301,443487,1623641,600792,1326679
El Salvador,SLV,2000,2130670,484349,1680658,551494,1096195
El Salvador,SLV,2001,2077446,475904,1649986,606908,1157816
El Salvador,SLV,2002,2123838,460665,1632350,600252,1169526
El Salvador,SLV,2003,2021156,472117,1711080,538057,1256189
El Salvador,SLV,2004,2096531,494310,1855782,578376,979672
El Salvador,SLV,2005,2075037,501308,1862275,580142,986816
El Salvador,SLV,2006,2078469,548608,1997688,620128,757426
El Salvador,SLV,2007,2226267,592293,2054933,583990,552341
El Salvador,SLV,2008,2132693,522633,1954911,657689,761371
El Salvador,SLV,2009,2042754,579618,2038266,640283,747358
El Salvador,SLV,2010,2165453,579793,1982762,650856,689385
El Salvador,SLV,2011,2084978,592558,2149899,647999,614693
El Salvador,SLV,2012,2190618,653827,2171437,575696,522397
El Salvador,SLV,2013,2445219,681242,2018338,555642,438398
El Salvador,SLV,2014,2477591,648457,2076655,531721,428531
El Salvador,SLV,2015,2608363,695125,2074930,477434,327824
El Salvador,SLV,2016,2753880,660584,1947589,480660,358087
El Salvador,SLV,2017,2858035,718745,1944890,409085,282778
El Salvador,SLV,2018,3120688,668049,1795118,382986,252966
El Salvador,SLV,2019,3388745,672537,1679402,295958,185676
El Salvador,SLV,2021,3531626,625544,1484828,292806,320978
El Salvador,SLV,2022,3573189,650440,1452581,277106,327003
El Salvador,SLV,2023,3786417,633816,1346630,250194,292567
Equatorial Guinea,GNQ,2022,581322,185191,670871,232036,160968
Estonia,EST,1993,753354,169883,434238,112373,24280
Estonia,EST,2003,967538,119178,200498,34812,48694
Estonia,EST,2004,1070310,93279,149393,27854,21714
Estonia,EST,2005,1149742,68875,106651,14834,14673
Estonia,EST,2006,1209272,52347,64340,6219,14632
Estonia,EST,2007,1254520,30899,41540,5726,7995
Estonia,EST,2008,1250022,32675,39496,7496,7401
Estonia,EST,2009,1230008,37421,49417,7546,10123
Estonia,EST,2010,1189816,46102,67350,14259,13948
Estonia,EST,2011,1202871,43643,57650,7929,15346
Estonia,EST,2012,1209700,43690,47272,8180,13854
Estonia,EST,2013,1208895,39792,44389,10740,14181
Estonia,EST,2014,1227329,21911,42509,9757,13039
Estonia,EST,2015,1254119,23649,24735,4216,8688
Estonia,EST,2016,1268837,15894,20676,2683,7700
Estonia,EST,2017,1281288,12181,15916,1162,6837
Estonia,EST,2018,1292805,12091,9854,1714,5513
Estonia,EST,2019,1297831,5917,10748,2846,9556
Estonia,EST,2020,1300079,7538,14994,1406,5505
Estonia,EST,2021,1312427,5152,7876,830,4647
Estonia,EST,2022,1307434,14062,18459,2164,6721
Estonia,EST,2023,1344856,7542,10020,3525,4343
Eswatini,SWZ,1994,14238,5076,40599,43918,866734
Eswatini,SWZ,2000,79572,21761,143830,122529,682600
Eswatini,SWZ,2009,96018,35445,202256,128734,644324
Eswatini,SWZ,2016,195493,42540,242310,158097,512544
Ethiopia,ETH,1995,1479511,568237,6089508,7229046,42653610
Ethiopia,ETH,1999,905157,627023,7840878,13274572,43745398
Ethiopia,ETH,2004,2062128,1235532,19929513,22080105,31915058
Ethiopia,ETH,2010,3843476,2385303,26477061,24780203,34358197
Ethiopia,ETH,2015,6867908,3793625,35594268,24291279,34745568
Ethiopia,ETH,2021,4470112,3495752,36310178,30672943,47189607
Ethiopia (rural),,1981,306795,179283,2438388,4368003,24665411
Europe and Central Asia (WB),WB_ECA,1990,625476444,42753882,113315348,29567191,34177375
Europe and Central Asia (WB),WB_ECA,1991,614721116,44093479,119631331,32165379,38558103
Europe and Central Asia (WB),WB_ECA,1992,595455020,45596203,128311511,36272316,47029462
Europe and Central Asia (WB),WB_ECA,1993,566783516,47890966,146467979,42170977,52240802
Europe and Central Asia (WB),WB_ECA,1994,552904904,44373040,147139939,48184106,65122619
Europe and Central Asia (WB),WB_ECA,1995,578331959,47087519,131755737,39733256,62596297
Europe and Central Asia (WB),WB_ECA,1996,562486383,46608071,143485486,44268879,64224589
Europe and Central Asia (WB),WB_ECA,1997,573969613,48890586,140536501,40139394,58798946
Europe and Central Asia (WB),WB_ECA,1998,575632712,46842599,138534440,41492962,60814919
Europe and Central Asia (WB),WB_ECA,1999,546098025,43311513,147400379,51761445,75735582
Europe and Central Asia (WB),WB_ECA,2000,561388462,45956998,147462172,44557517,66027299
Europe and Central Asia (WB),WB_ECA,2001,576815672,46260406,143391632,39945324,60177686
Europe and Central Asia (WB),WB_ECA,2002,591213722,47464927,139756494,36200348,53599325
Europe and Central Asia (WB),WB_ECA,2003,602315178,46437949,137160881,32791647,51823817
Europe and Central Asia (WB),WB_ECA,2004,627627057,47366894,125874345,27632748,44568396
Europe and Central Asia (WB),WB_ECA,2005,646244160,47982210,113094216,24155672,44087646
Europe and Central Asia (WB),WB_ECA,2006,668956978,45853808,104178949,20399808,38777369
Europe and Central Asia (WB),WB_ECA,2007,692108232,43799726,91886528,17294543,35567291
Europe and Central Asia (WB),WB_ECA,2008,719054952,40734673,77157181,14270164,33007734
Europe and Central Asia (WB),WB_ECA,2009,718274530,41757610,80676632,13834088,33198260
Europe and Central Asia (WB),WB_ECA,2010,729399685,39752918,74935519,13323885,33578393
Europe and Central Asia (WB),WB_ECA,2011,738100005,39434393,69927192,13116163,32431847
Europe and Central Asia (WB),WB_ECA,2012,744817841,38059415,67983591,12990302,32663347
Europe and Central Asia (WB),WB_ECA,2013,763458576,40296786,73614819,12569263,9967756
Europe and Central Asia (WB),WB_ECA,2014,767050758,40739204,71904836,12945769,10920521
Europe and Central Asia (WB),WB_ECA,2015,767002801,41900892,75139406,12536479,10947910
Europe and Central Asia (WB),WB_ECA,2016,774738522,41501135,74968910,11356403,9014038
Europe and Central Asia (WB),WB_ECA,2017,786971267,39740206,68788305,10503982,9062096
Europe and Central Asia (WB),WB_ECA,2018,797832352,38705551,65114033,9378192,7659152
Europe and Central Asia (WB),WB_ECA,2019,807247800,36241325,62193896,9147160,7101979
Europe and Central Asia (WB),WB_ECA,2020,813945321,34586052,57965899,9334616,7832560
Europe and Central Asia (WB),WB_ECA,2021,830229282,28853230,50234962,7665782,7397800
Europe and Central Asia (WB),WB_ECA,2022,832135779,29217735,48904815,7010573,6965594
Europe and Central Asia (WB),WB_ECA,2023,852900478,22889307,37315706,5614914,6053099
Europe and Central Asia (WB),WB_ECA,2024,862438178,21458338,34305772,4805279,5255665
Europe and Central Asia (WB),WB_ECA,2025,868970385,20255371,30411604,4290912,4918128
Europe and Central Asia (WB),WB_ECA,2026,872695797,19610851,29132349,4084400,4706107
Fiji,FJI,2002,316942,93698,323420,81836,46272
Fiji,FJI,2008,357070,105990,337807,70163,34289
Fiji,FJI,2013,377887,110469,355921,58145,14226
Fiji,FJI,2019,246657,107205,422484,95992,42571
Finland,FIN,1987,4907462,14797,4932,0,4932
Finland,FIN,1991,4993685,10028,5013,5014,0
Finland,FIN,1995,5097574,0,5108,5108,0
Finland,FIN,2000,5160680,5177,5176,0,5176
Finland,FIN,2003,5190889,9434,7929,2193,2569
Finland,FIN,2004,5214389,3104,6933,1361,2385
Finland,FIN,2005,5231180,2632,5981,2280,4023
Finland,FIN,2006,5246949,7036,5836,1611,4836
Finland,FIN,2007,5276434,4500,2426,1989,3371
Finland,FIN,2008,5294981,5559,6103,2462,4294
Finland,FIN,2009,5325997,4995,4137,941,2801
Finland,FIN,2010,5345550,6156,7881,59,3706
