country,year,urban_population_pct,waste_generated_kg_per_capita_per_day,recycling_rate_pct,composting_rate_pct,incineration_rate_pct,landfill_rate_pct,estimated_waste_emissions_kg_co2e_per_kg_waste
Kenya,2024,29,0.78,3.5,12.2,5.4,78.9,0.604
Kenya,2025,29,0.82,22.4,7.7,7.0,62.9,0.581
Nigeria,2023,54,0.7,25.1,0.0,5.0,70.0,0.521
Nigeria,2024,54,0.77,11.4,0.0,1.5,87.1,0.626
Nigeria,2025,54,0.85,2.0,5.3,5.9,86.8,0.64
Pakistan,2023,38,0.68,37.3,9.0,3.5,50.2,0.405
Pakistan,2024,38,0.71,26.8,0.0,2.7,70.5,0.52
Pakistan,2025,38,0.74,15.5,1.6,9.6,73.2,0.516
Bangladesh,2023,40,0.78,15.9,0.0,6.4,77.6,0.575
Bangladesh,2024,40,0.81,31.0,3.7,6.9,58.4,0.513
Bangladesh,2025,40,0.8,24.5,2.1,1.7,71.7,0.576
Chile,2023,88,1.26,42.0,4.3,5.8,47.8,0.716
Chile,2024,88,0.94,14.8,14.7,7.7,62.7,0.639
Chile,2025,88,0.99,32.8,5.9,9.9,51.5,0.577
Colombia,2023,81,0.99,45.8,12.4,10.7,31.1,0.46
Colombia,2024,81,1.09,37.8,10.9,10.3,41.0,0.601
Colombia,2025,81,1.11,45.2,11.3,4.3,39.2,0.575
Poland,2023,60,1.3,27.0,12.6,9.9,50.6,0.742
Poland,2024,60,1.32,43.7,3.3,14.0,39.1,0.733
Poland,2025,60,1.32,38.3,20.0,11.0,30.8,0.655
