country,year,coal_share_pct,gas_share_pct,oil_share_pct,nuclear_share_pct,hydro_share_pct,wind_share_pct,solar_share_pct,other_share_pct,renewable_share_pct,grid_intensity_kg_co2_per_kwh
Canada,2024,3.0,5.9,2.8,6.0,65.9,5.5,9.5,1.4,80.9,0.076
Canada,2025,0.9,8.9,0.9,10.1,62.1,6.5,7.4,3.2,76.0,0.097
Australia,2023,56.0,10.7,6.8,0.6,13.0,4.5,2.9,5.5,20.4,0.649
Australia,2024,57.6,9.3,3.8,4.9,12.2,6.0,2.9,3.3,21.1,0.644
Australia,2025,53.0,17.3,2.3,5.8,6.5,7.5,4.3,3.3,18.3,0.642
Japan,2023,14.1,13.2,1.8,16.0,24.3,14.9,14.8,0.9,54.0,0.281
Japan,2024,17.9,30.0,3.3,2.3,14.7,15.2,14.2,2.4,44.1,0.388
Japan,2025,9.8,31.0,4.7,4.2,24.3,15.1,9.5,1.4,48.9,0.3
Norway,2023,0.1,9.5,4.7,9.7,50.2,16.6,9.0,0.2,75.8,0.097
Norway,2024,4.1,6.8,1.1,2.1,59.1,16.8,8.7,1.3,84.6,0.153
Norway,2025,7.5,5.8,1.6,10.2,55.5,9.2,7.6,2.6,72.3,0.162
Sweden,2023,1.3,23.2,1.0,7.8,11.5,21.5,29.5,4.2,62.5,0.223
Sweden,2024,11.0,18.1,0.1,2.7,18.9,19.8,26.1,3.3,64.8,0.238
Sweden,2025,11.6,6.5,1.9,11.6,15.2,23.0,27.6,2.6,65.8,0.18
Denmark,2023,12.8,5.8,0.0,13.3,15.9,22.5,28.5,1.2,66.9,0.176
Denmark,2024,11.3,10.3,0.4,1.4,18.7,40.7,15.1,2.1,74.5,0.186
Denmark,2025,0.0,9.9,2.7,9.9,18.8,31.4,23.5,3.8,73.7,0.137
South Africa,2023,60.5,10.7,5.2,7.3,5.2,5.9,1.1,4.1,12.2,0.676
South Africa,2024,46.1,10.0,0.6,7.5,18.3,8.2,7.5,1.8,34.0,0.508
South Africa,2025,52.6,18.7,4.2,3.8,11.2,3.3,2.7,3.5,17.2,0.571
Indonesia,2023,42.6,16.1,2.7,5.5,17.2,7.8,6.7,1.4,31.7,0.463
Indonesia,2024,54.6,5.8,0.9,1.6,15.3,8.9,8.6,4.3,32.8,0.579
Indonesia,2025,54.5,12.6,0.2,0.7,13.4,9.8,4.7,4.1,27.9,0.627
Mexico,2023,15.8,49.1,6.7,5.3,11.2,4.2,4.5,3.2,19.9,0.428
Mexico,2024,6.2,47.4,0.1,8.1,17.3,6.9,11.0,3.0,35.2,0.326
Mexico,2025,17.0,47.6,0.9,1.4,7.3,16.3,6.5,3.0,30.1,0.468
Turkey,2023,28.5,19.0,1.6,7.9,21.6,13.5,4.5,3.4,39.6,0.376
Turkey,2024,26.8,23.2,4.3,2.1,18.7,17.8,4.7,2.4,41.2,0.423
Turkey,2025,29.4,22.3,2.8,2.7,11.3,17.5,12.6,1.4,41.4,0.442
Italy,2023,12.4,21.5,0.6,13.4,20.8,14.0,13.9,3.4,48.7,0.295
Italy,2024,15.3,18.5,4.0,4.0,18.7,21.5,14.9,3.1,55.1,0.253
Italy,2025,23.1,20.6,9.0,4.2,20.8,10.5,9.3,2.5,40.6,0.407
Spain,2023,5.5,7.5,2.6,7.2,21.6,32.3,20.2,3.1,74.1,0.15
Spain,2024,9.7,8.3,1.7,8.2,18.0,19.3,30.4,4.4,67.7,0.19
Spain,2025,11.5,5.9,4.9,9.1,18.9,26.6,17.8,5.3,63.3,0.157
Netherlands,2023,13.1,49.5,3.1,9.0,5.5,13.0,2.6,4.2,21.1,0.386
Netherlands,2024,14.7,41.3,0.4,0.0,6.6,16.5,17.7,2.8,40.8,0.409
Netherlands,2025,12.1,53.2,1.3,11.6,4.6,9.8,5.4,2.0,19.8,0.446
Saudi Arabia,2023,12.3,38.5,2.0,14.5,15.5,9.6,4.1,3.5,29.2,0.366
Saudi Arabia,2024,12.5,37.6,3.0,14.2,14.0,8.6,6.2,3.9,28.8,0.365
Saudi Arabia,2025,7.1,44.1,5.4,5.3,7.5,13.4,14.0,3.2,34.9,0.385
United Arab Emirates,2023,11.0,43.0,4.3,7.9,7.3,12.5,11.9,2.1,31.7,0.395
United Arab Emirates,2024,14.9,44.5,3.4,2.4,19.9,8.5,4.4,2.0,32.8,0.42
United Arab Emirates,2025,4.5,30.1,5.6,12.9,14.1,12.8,15.4,4.6,42.3,0.2
Egypt,2023,15.3,32.6,3.6,13.9,8.2,8.6,15.1,2.7,31.9,0.369
Egypt,2024,15.2,37.6,5.1,7.4,9.1,11.7,11.4,2.5,32.2,0.38
Egypt,2025,5.4,43.5,1.5,13.6,5.7,11.0,15.7,3.6,32.4,0.348
Kenya,2023,15.2,7.8,5.7,0.1,46.9,19.1,3.6,1.6,69.6,0.247
Kenya,2024,10.1,12.9,1.3,11.7,56.9,3.5,2.4,1.2,62.8,0.145
Kenya,2025,10.8,7.0,4.6,14.4,40.9,13.1,4.4,4.8,58.4,0.204
Nigeria,2023,18.6,38.3,0.3,14.6,4.5,15.9,6.6,1.2,27.0,0.411
Nigeria,2024,5.4,41.3,4.0,10.6,6.8,16.4,10.9,4.6,34.1,0.344
Nigeria,2025,1.9,47.6,2.1,4.4,13.3,13.1,13.5,4.1,39.9,0.373
Pakistan,2023,45.4,13.8,5.2,4.0,13.9,8.9,6.5,2.3,29.3,0.582
Pakistan,2024,49.1,21.9,4.1,0.4,14.7,4.4,1.5,3.9,20.6,0.631
Pakistan,2025,50.8,9.0,3.5,5.4,11.9,10.0,7.5,1.9,29.4,0.605
Bangladesh,2023,14.4,47.9,6.0,3.9,6.7,8.5,10.5,2.1,25.7,0.471
Bangladesh,2024,11.1,38.5,2.7,2.9,6.7,18.6,18.1,1.4,43.4,0.324
Bangladesh,2025,12.0,40.3,3.6,5.0,16.6,15.7,5.6,1.2,37.9,0.355
Chile,2023,26.7,20.3,4.7,16.7,12.3,15.8,3.3,0.2,31.4,0.462
Chile,2024,14.5,24.7,1.4,9.6,14.2,15.4,16.4,3.8,46.0,0.323
Chile,2025,17.8,20.4,0.8,1.9,20.3,22.1,13.8,2.9,56.2,0.27
Colombia,2023,1.1,4.1,0.7,15.7,53.1,13.4,8.6,3.3,75.1,0.042
Colombia,2024,1.3,10.4,3.2,7.4,55.2,9.9,11.0,1.6,76.1,0.088
Colombia,2025,0.0,1.9,0.8,6.4,65.9,8.1,12.5,4.4,86.5,0.044
Poland,2023,52.0,13.5,5.7,10.0,12.7,3.5,1.6,1.0,17.8,0.625
Poland,2024,59.2,6.9,6.0,7.1,7.3,3.2,9.4,0.9,19.9,0.676
Poland,2025,43.5,11.0,6.4,7.6,18.6,6.3,4.5,2.1,29.4,0.571
